gene_id,first_generation,last_generation,appearances,reward,param_count,runtime_min,submission_flag,status,job_id,source_log,is_valid,failure_kind
xXx3wrB8G16K9NQaCGiFa9hOffW,2,2,1,-inf,inf,1400,True,completed,5145427,slurm-5149662.out,False,runtime_invalid
xXx4DbsQbFZFuaVtfK2jO1YgILv,16,16,1,-inf,inf,20,True,completed,5153212,slurm-5149662.out,False,runtime_invalid
xXx4OFrNXUaxIVxfxmbZfbK5BFl,16,16,1,-999999.0,999999999.0,20,True,completed,5153204,slurm-5149662.out,False,hard_failure
xXx4dJN8eZFLiUMoFRChxLsJD66,3,4,2,-999999.0,999999999.0,20,True,completed,5149708,slurm-5149662.out,False,hard_failure
xXx4xssX8mOZQf4M9MUGxYxze4D,8,8,1,-999999.0,999999999.0,21,True,completed,5150398,slurm-5149662.out,False,hard_failure
xXx5YFHvwnA3waTmqQ7XQIwHQUs,11,11,1,-inf,inf,20,True,completed,5151284,slurm-5149662.out,False,runtime_invalid
xXx5sImHFiMzlG0WbrI3oFMxySB,14,14,1,-inf,inf,15,True,completed,5152635,slurm-5149662.out,False,runtime_invalid
xXx5x3aECEhQAEpAtgIA5CwWkEp,16,16,1,-inf,inf,27,True,completed,5153057,slurm-5149662.out,False,runtime_invalid
xXx67GFJwDx153KlXm6WRrXwZtN,6,6,1,-inf,inf,20,True,completed,5150016,slurm-5149662.out,False,runtime_invalid
xXx67IM4sKRArKRWpQau0Ifv7In,11,11,1,-inf,inf,20,True,completed,5151273,slurm-5149662.out,False,runtime_invalid
xXx6Q2WN1n9DIsWLMR6GPkI7cwq,4,4,1,-999999.0,999999999.0,20,True,completed,5149826,slurm-5149662.out,False,hard_failure
xXx6Sqq9lobd6JwbNvlX5vf3xje,0,0,1,-inf,inf,29,True,completed,5142064,slurm-5142024.out,False,runtime_invalid
xXx6bSmZoTgTSyWBBhs4RQZ9Yxr,7,7,1,-inf,inf,20,True,completed,5150197,slurm-5149662.out,False,runtime_invalid
xXx6rQKtKNA5cWEXoxohnnzU3Z1,12,12,1,-inf,inf,26,True,completed,5151684,slurm-5149662.out,False,runtime_invalid
xXx6x25CO36U3OFqA0DlTpiNiFV,15,15,1,-inf,inf,20,True,completed,5152821,slurm-5149662.out,False,runtime_invalid
xXx74KQTkj2fb9WIdK1nj0Lyyhq,5,5,1,-inf,inf,14,True,completed,5149932,slurm-5149662.out,False,runtime_invalid
