generation,gene_id,reward,param_count,submission_flag,runtime_min,status,job_id,source_log,is_valid,failure_kind
2,xXxideifjcNdziXdZqnbLOvk4G6,766.8791807845505,11085.0,True,1400,completed,5145423,slurm-5149662.out,True,valid
2,xXxVry2ewhpx3WKE8RpFWIyPuNI,-inf,inf,True,1400,completed,5145424,slurm-5149662.out,False,runtime_invalid
2,xXxwc9Tq6dXxya0sZB2Qur7oohc,-0.1913376111529433,38541.0,True,1400,completed,5145425,slurm-5149662.out,True,valid
2,xXxzUYmcnzISwZJlcgqkCq0IPLX,-33.25496500922187,38541.0,True,1400,completed,5145426,slurm-5149662.out,True,valid
2,xXx3wrB8G16K9NQaCGiFa9hOffW,-inf,inf,True,1400,completed,5145427,slurm-5149662.out,False,runtime_invalid
2,xXxyuIS1luzzMpbl6Vtr2tEL2vo,-999999.0,999999999.0,True,1400,completed,5145428,slurm-5149662.out,False,hard_failure
2,xXxISD0YPy2slHPjPraCyFM3d4k,-999999.0,999999999.0,True,1450,completed,5142086,slurm-5149662.out,False,hard_failure
2,xXxZQyDhPM6xTM3kCmAMOYKw0BR,789.6701067260061,11085.0,True,1400,completed,5145430,slurm-5149662.out,True,valid
2,xXx6NF42fAI9yRhcZ1orD7fHxJx,1218.9055130871427,38541.0,True,1421,completed,5144004,slurm-5149662.out,True,valid
2,xXx8ZpKW3K8SagPWWBC9SlcFCEx,727.4365773988823,11085.0,True,1421,completed,5144008,slurm-5149662.out,True,valid
2,xXx8hITsxDhHUTqufWXaoR24T7m,614.9252284777239,11085.0,True,1421,completed,5144013,slurm-5149662.out,True,valid
2,xXx4B7FZsAKCT02WB7AatQ6Dhi9,1042.250514857908,142605.0,True,1400,completed,5145431,slurm-5149662.out,True,valid
2,xXx4L2jiClO5cOnAhYR4H9yKioT,884.3173179991411,90893.0,True,1400,completed,5145432,slurm-5149662.out,True,valid
2,xXx1X0dXwb7llJPUC1ErsXcKLok,1018.6737273172181,11085.0,True,1450,completed,5142065,slurm-5149662.out,True,valid
2,xXxupAfWs24zYNS0q3dC0CjRSJR,1105.3316962030003,38541.0,True,1450,completed,5142054,slurm-5149662.out,True,valid
2,xXxR6Sd4W55BBXNqQ11VOUFwEa5,1002.6149336743641,11085.0,True,1450,completed,5142081,slurm-5149662.out,True,valid
2,xXxrd1qCZbJJBEldfp5XmY4MgRY,960.3144927004316,11085.0,True,1450,completed,5142073,slurm-5149662.out,True,valid
2,xXxSiIC8XNiMnWSeWbO3xgoJdmN,835.389459590928,11085.0,True,1450,completed,5142072,slurm-5149662.out,True,valid
2,xXx7akmPV2iZupejwNCMFezu3Yw,777.7252746605541,11085.0,True,1450,completed,5142088,slurm-5149662.out,True,valid
2,xXxBHGOw2hjHwS4C31EU5NSGTTB,775.4338481353645,11085.0,True,1450,completed,5142078,slurm-5149662.out,True,valid
2,xXxB5QUptxTcXcGugtgAImBAU1J,815.5105135000755,142605.0,True,1421,completed,5144005,slurm-5149662.out,True,valid
2,xXxKS1RGRRFKLfHMtmGbVfBzSCR,695.4043824989183,11085.0,True,1450,completed,5142082,slurm-5149662.out,True,valid
2,xXxlV61JOfkNeynoo7ssKHYILc5,679.2124950365572,11085.0,True,1421,completed,5144002,slurm-5149662.out,True,valid
2,xXxC77t9Ak1JnIZPCNMvxGmugqa,608.9006919960506,11085.0,True,1450,completed,5142066,slurm-5149662.out,True,valid
2,xXxNXG2HKEpndvrFxkCY1sqNbGj,531.790699715296,11085.0,True,1450,completed,5142067,slurm-5149662.out,True,valid
2,xXxQtQHOeFZixM1Gcc7knLB3Wrx,509.4202073338365,11085.0,True,1450,completed,5142056,slurm-5149662.out,True,valid
2,xXxPxkSnBF0QFJWSfnlKEmp3eNn,501.7984549662139,11085.0,True,1450,completed,5142083,slurm-5149662.out,True,valid
2,xXxZ7emrx9AC8K23N0tLY1tsV9b,415.7988712595628,11085.0,True,1421,completed,5144015,slurm-5149662.out,True,valid
2,xXxrkc77NtP2HPdCEZBlnbI7WpH,511.4600183392161,38541.0,True,1450,completed,5142068,slurm-5149662.out,True,valid
2,xXxIDqgFtAyZ8lZO9c8pNLtH6Lw,449.3107780399282,38541.0,True,1421,completed,5144006,slurm-5149662.out,True,valid
2,xXxO2mktPYGnElTIhjyJVKCdOnn,221.46700235570952,38541.0,True,1450,completed,5142058,slurm-5149662.out,True,valid
2,xXxAQQFhDB2oeamMdm9XKZzvHqZ,73.50492274281704,38541.0,True,1450,completed,5142079,slurm-5149662.out,True,valid
2,xXx9jblXs9kKMnDDwDuXVsZdCfZ,9.03205817179165,54605.0,True,1450,completed,5142087,slurm-5149662.out,True,valid
2,xXxP6NGqwcFhbeF5fxbMOKlAoDm,-999999.0,999999999.0,True,1421,completed,5144009,slurm-5149662.out,False,hard_failure
2,xXxS65tZXL0biwAkFDDDeAEfzcv,-999999.0,999999999.0,True,1450,completed,5142074,slurm-5149662.out,False,hard_failure
3,xXxRPO8i7I6qJXDXebQ7GyTPPd2,-inf,inf,True,31,completed,5149664,slurm-5149662.out,False,runtime_invalid
3,xXxYbKbtoYWXISZbjSOUpBCxwSB,-inf,inf,True,20,completed,5149694,slurm-5149662.out,False,runtime_invalid
3,xXxvoGdsh2JVSHhDSgJu4PEj4FR,-inf,inf,True,20,completed,5149695,slurm-5149662.out,False,runtime_invalid
3,xXxyGet8LseG67zZxuD7uN3DdNl,-inf,inf,True,20,completed,5149696,slurm-5149662.out,False,runtime_invalid
3,xXxCLnqv73qaLuRTZvacXHCj3Mu,-inf,inf,True,31,completed,5149666,slurm-5149662.out,False,runtime_invalid
3,xXxkJltczgDCULHOHGqtFTkKxuF,-inf,inf,True,20,completed,5149697,slurm-5149662.out,False,runtime_invalid
3,xXxSrBvDcs5ACi7BbLZ5HfhnDx6,-inf,inf,True,20,completed,5149698,slurm-5149662.out,False,runtime_invalid
3,xXxz6FhIa4pxw0OqFeKm2lHQVEo,-999999.0,999999999.0,True,20,completed,5149699,slurm-5149662.out,False,hard_failure
3,xXxZXFlHsdapVobZyGCWyq8QawT,-inf,inf,True,20,completed,5149700,slurm-5149662.out,False,runtime_invalid
3,xXxQk9DZtUVLdsXSyszgDXZoD0i,-inf,inf,True,20,completed,5149701,slurm-5149662.out,False,runtime_invalid
3,xXxenlNnTVPRGUF3wLOnQqMlZKM,-inf,inf,True,20,completed,5149702,slurm-5149662.out,False,runtime_invalid
3,xXxxMLpCSUgTkdATw0eRwhRhubl,-inf,inf,True,20,completed,5149703,slurm-5149662.out,False,runtime_invalid
3,xXxzXRINkHemYWzbsuW1v3PAZBA,-inf,inf,True,20,completed,5149704,slurm-5149662.out,False,runtime_invalid
3,xXxx4GpNOm9LQDOArCapC0ibG09,-inf,inf,True,20,completed,5149705,slurm-5149662.out,False,runtime_invalid
3,xXxhDOWh0tsCU6HunZYaaIPhJwH,-inf,inf,True,20,completed,5149706,slurm-5149662.out,False,runtime_invalid
3,xXxhYua9OyZeGV3lRFfmCv81N3L,-999999.0,999999999.0,True,20,completed,5149707,slurm-5149662.out,False,hard_failure
3,xXx4dJN8eZFLiUMoFRChxLsJD66,-999999.0,999999999.0,True,20,completed,5149708,slurm-5149662.out,False,hard_failure
3,xXxKOynmppsVcjbqjBXfnLE71E9,-inf,inf,True,20,completed,5149709,slurm-5149662.out,False,runtime_invalid
3,xXxi4AMcrpqIrOujGSyfxucQYQc,712.1740020150547,11085.0,True,20,completed,5149710,slurm-5149662.out,True,valid
3,xXx704EEJLNiOINAUQhVbRh4amM,231.4126200089499,11085.0,True,20,completed,5149711,slurm-5149662.out,True,valid
3,xXxPxiWWmwd6GHJo1mFgQS9VRoh,-inf,inf,True,31,completed,5149674,slurm-5149662.out,False,runtime_invalid
3,xXxt1oQilY6PdVfOVnMm6DcZKRx,-inf,inf,True,20,completed,5149712,slurm-5149662.out,False,runtime_invalid
3,xXxpw2WfuLWwjaHzujd6wlI0AWV,832.237716715004,142605.0,True,20,completed,5149713,slurm-5149662.out,True,valid
3,xXxyekTrcWB9SBcyyuo3hbgIkva,-inf,inf,True,20,completed,5149714,slurm-5149662.out,False,runtime_invalid
3,xXxaCHoaH1QO6Eli2aJHw1XIENT,-inf,inf,True,20,completed,5149715,slurm-5149662.out,False,runtime_invalid
3,xXxyFsc77VtI8DEjxDhpqqqYi93,-inf,inf,True,20,completed,5149716,slurm-5149662.out,False,runtime_invalid
3,xXxYl4wa94WrTgwnkM7F0MvrXUM,-inf,inf,True,20,completed,5149717,slurm-5149662.out,False,runtime_invalid
3,xXxCpnJ1K0wTvyfkRCslv9x7xCJ,-inf,inf,True,20,completed,5149718,slurm-5149662.out,False,runtime_invalid
3,xXxvP65qFUZHY8rxRWMSLVuNzVk,-inf,inf,True,20,completed,5149719,slurm-5149662.out,False,runtime_invalid
3,xXxNXG2HKEpndvrFxkCY1sqNbGj,531.790699715296,11085.0,True,1481,completed,5142067,slurm-5149662.out,True,valid
3,xXxoSvtcGj6praAKyAEBpmQhZ74,47.230343640296375,7645.0,True,20,completed,5149720,slurm-5149662.out,True,valid
3,xXxe6xnBI55Wao4kc0vAvtLXkoC,-inf,inf,True,20,completed,5149721,slurm-5149662.out,False,runtime_invalid
3,xXxZ4o4DISFXcEbYyZCMeciawmk,1120.6673198546694,11085.0,True,1431,completed,5145416,slurm-5149662.out,True,valid
3,xXxgYgEN6CvFDMZLVc0s5Y5DVoT,149.4285801807787,1389.0,True,1431,completed,5145418,slurm-5149662.out,True,valid
3,xXx6NF42fAI9yRhcZ1orD7fHxJx,1218.9055130871427,38541.0,True,1452,completed,5144004,slurm-5149662.out,True,valid
3,xXx1X0dXwb7llJPUC1ErsXcKLok,1018.6737273172181,11085.0,True,1481,completed,5142065,slurm-5149662.out,True,valid
